cliente_id,fecha,agencia,edad,segmento,ingreso,saldo,producto
49,2025-05-01,Zona 10,21,Joven,6024.00,10000.93,2190.05
50,2025-03-01,Cobán,58,Premium,11583.00,31834.63,6835.01
51,2025-02-01,Escuintla,22,Premium,25643.00,37408.35,3574.1
52,2025-03-01,Zona 10,45,Adulto,7176.00,36036.95,5494.9
53,2025-11-01,Cobán,33,Premium,24854.00,41678.97,7095.19
54,2025-03-01,Cobán,33,Joven,8324.00,46652.39,4456.43
55,2025-12-01,Quetzaltenango,39,Adulto,28637.00,44595.24,3483.6
56,2025-12-01,Quetzaltenango,24,Joven,15535.00,41481.93,2153.43
57,2025-06-01,Zona 10,37,Premium,29887.00,27424.02,3620.6
58,2025-07-01,Escuintla,39,Adulto,12129.00,45622.18,1069.36
59,2025-09-01,Zona 10,43,Joven,25266.00,39771.29,4707.04
60,2025-03-01,Escuintla,55,Premium,11698.00,40704.02,5641.55
61,2025-07-01,Quetzaltenango,56,Adulto,19758.00,44226.64,7848.28
62,2025-12-01,Quetzaltenango,45,Adulto,3055.00,3420.43,4547.47
63,2025-02-01,Zona 10,60,Premium,13819.00,12334.12,2937.39
64,2025-09-01,Escuintla,37,Premium,24852.00,14785.27,6104.68
65,2025-04-01,Quetzaltenango,44,Premium,24788.00,41796.34,3899.04
66,2025-05-01,Quetzaltenango,43,Adulto,20954.00,30128.65,3527.87
67,2025-10-01,Quetzaltenango,59,Premium,13559.00,12347.10,5471.54
68,2025-12-01,Petén,28,Adulto,24589.00,37443.13,6222.88
69,2025-04-01,Zona 10,61,Joven,13171.00,26268.84,6315.95
70,2025-08-01,Petén,57,Joven,28181.00,36137.80,5914.14
71,2025-12-01,Zona 10,42,Joven,19199.00,19522.66,5666.3
72,2025-04-01,Zona 10,29,Premium,29349.00,38994.24,4369.27
73,2025-02-01,Petén,47,Premium,7369.00,30654.07,2185.26
74,2025-08-01,Petén,57,Adulto,29706.00,22270.51,2672.97
75,2025-12-01,Escuintla,48,Premium,17747.00,24477.98,6504.82
76,2025-11-01,Quetzaltenango,33,Adulto,11998.00,7363.11,6166.55
77,2025-06-01,Quetzaltenango,52,Premium,5640.00,30615.83,6108.15
78,2025-02-01,Zona 10,44,Joven,16356.00,18460.01,6956.95
79,2025-07-01,Petén,67,Adulto,22139.00,27247.89,4867.94
80,2025-01-01,Cobán,40,Premium,12784.00,25513.46,1081.37
81,2025-12-01,Quetzaltenango,52,Adulto,29210.00,18250.09,4146.99
82,2025-08-01,Cobán,19,Premium,15742.00,15679.20,7584.72
83,2025-08-01,Petén,26,Premium,23390.00,0.00,4072.69
84,2025-01-01,Quetzaltenango,23,Joven,24061.00,3286.15,6741.65
85,2025-07-01,Cobán,38,Adulto,9935.00,14548.70,5509.63
86,2025-05-01,Escuintla,23,Joven,18411.00,39831.77,5302.55
87,2025-02-01,Quetzaltenango,67,Joven,24356.00,27917.13,5125.67
88,2025-10-01,Petén,27,Joven,10816.00,37528.59,7120.39
89,2025-12-01,Zona 10,34,Joven,28129.00,13873.15,7002.49
90,2025-02-01,Cobán,55,Adulto,3841.00,39172.54,3868.24
91,2025-04-01,Zona 10,22,Premium,22401.00,18854.56,2383.6
92,2025-11-01,Zona 10,56,Adulto,29395.00,49970.14,8960.33
93,2025-07-01,Zona 10,60,Adulto,15142.00,40728.82,6212.65
94,2025-02-01,Quetzaltenango,45,Adulto,14868.00,10154.97,2172.72
95,2025-12-01,Petén,51,Adulto,24314.00,22255.58,8605.71
96,2025-07-01,Quetzaltenango,70,Joven,26954.00,16151.80,4031.64
97,2025-08-01,Cobán,33,Adulto,27591.00,8928.30,5603.9
98,2025-08-01,Escuintla,38,Adulto,8958.00,13799.98,5146.32
99,2025-10-01,Quetzaltenango,62,Joven,12052.00,11410.45,4171.84
100,2025-12-01,Cobán,44,Premium,19009.00,16632.12,4496.15
101,2025-08-01,Cobán,46,Premium,28982.00,34959.27,5180.54
102,2025-05-01,Escuintla,60,Adulto,22056.00,14637.33,6862.02
103,2025-09-01,Escuintla,39,Joven,14528.00,22215.40,3479.36
104,2025-12-01,Quetzaltenango,30,Joven,13339.00,35866.86,6691.27
105,2025-12-01,Petén,48,Premium,12060.00,19770.71,0
106,2025-02-01,Zona 10,30,Premium,12707.00,26064.18,6245.27
107,2025-03-01,Quetzaltenango,35,Premium,4491.00,40037.46,4591.66
108,2025-02-01,Escuintla,18,Joven,21810.00,22067.51,7229.97
109,2025-05-01,Zona 10,48,Premium,6738.00,30315.92,3180.37
110,2025-11-01,Escuintla,21,Joven,7971.00,34136.61,7073.84
111,2025-02-01,Petén,53,Joven,28049.00,11030.89,6353.8
112,2025-07-01,Cobán,46,Adulto,17507.00,20311.80,7548.24
113,2025-10-01,Quetzaltenango,21,Premium,22976.00,30314.80,4773.21
114,2025-05-01,Zona 10,60,Joven,5660.00,29088.50,6031.09
115,2025-07-01,Quetzaltenango,46,Adulto,25589.00,16722.91,4077.47
116,2025-05-01,Escuintla,62,Premium,17877.00,32889.09,5630.67
117,2025-11-01,Quetzaltenango,69,Adulto,9482.00,11584.14,6136.83
118,2025-02-01,Petén,21,Adulto,8436.00,29270.22,2406.68
119,2025-02-01,Escuintla,47,Premium,25566.00,20940.06,6913.7
120,2025-08-01,Escuintla,46,Premium,5635.00,4445.40,2575.03
121,2025-01-01,Petén,23,Premium,10501.00,47166.36,4098.58
122,2025-11-01,Quetzaltenango,70,Adulto,11831.00,6926.96,3435.37
123,2025-11-01,Cobán,46,Joven,12114.00,31644.27,7411.61
124,2025-06-01,Quetzaltenango,44,Adulto,13921.00,22564.34,5847.99
125,2025-12-01,Petén,49,Joven,12444.00,18663.26,3274.53
126,2025-02-01,Cobán,38,Premium,11270.00,10868.27,9749.16
127,2025-11-01,Escuintla,52,Premium,18138.00,18385.96,5668.41
128,2025-11-01,Quetzaltenango,46,Adulto,27903.00,33966.23,5502.34
129,2025-12-01,Quetzaltenango,49,Premium,6978.00,41644.60,5508.79
130,2025-05-01,Zona 10,53,Adulto,3448.00,19975.14,4714.73
131,2025-11-01,Escuintla,27,Adulto,19330.00,34090.29,4317.68
132,2025-08-01,Petén,33,Premium,17967.00,13802.66,4377.18
133,2025-03-01,Escuintla,22,Premium,12052.00,28344.98,1113.48
134,2025-01-01,Cobán,36,Joven,26791.00,20206.82,7536.74
135,2025-09-01,Cobán,48,Adulto,14309.00,14919.77,7948.01
136,2025-04-01,Cobán,62,Joven,10825.00,17122.98,4364.02
137,2025-12-01,Quetzaltenango,48,Adulto,26108.00,35060.94,3985.87
138,2025-03-01,Cobán,50,Joven,22339.00,22280.75,5800.45
139,2025-08-01,Quetzaltenango,18,Joven,26673.00,39984.75,8184.66
140,2025-05-01,Escuintla,39,Premium,23422.00,18875.99,2288.34
141,2025-07-01,Petén,38,Joven,23538.00,21044.25,1689.06
142,2025-02-01,Quetzaltenango,33,Premium,23681.00,21042.78,3491.54
143,2025-07-01,Cobán,24,Joven,27915.00,8747.93,1975.91
144,2025-05-01,Escuintla,19,Adulto,4507.00,23162.73,5606.86
145,2025-03-01,Quetzaltenango,33,Joven,20405.00,9542.92,6588.68
146,2025-02-01,Petén,57,Joven,15535.00,18495.26,3985.65
147,2025-08-01,Cobán,58,Adulto,11322.00,7779.09,5745.19
148,2025-09-01,Petén,28,Adulto,5420.00,14682.16,5659.33
149,2025-07-01,Cobán,62,Adulto,11195.00,15193.79,5454.45
150,2025-04-01,Escuintla,42,Joven,21740.00,18643.83,6297.74
151,2025-07-01,Zona 10,35,Premium,3265.00,8284.49,3775.07
152,2025-08-01,Escuintla,36,Joven,28419.00,29956.63,2394.15
153,2025-04-01,Quetzaltenango,57,Premium,11212.00,16594.05,2128.15
154,2025-11-01,Petén,59,Adulto,4291.00,20317.69,7010.3
155,2025-03-01,Quetzaltenango,23,Joven,12670.00,19234.76,6836.51
156,2025-06-01,Escuintla,51,Adulto,19442.00,44349.44,3051.18
157,2025-12-01,Quetzaltenango,39,Joven,29353.00,48081.93,8398.87
158,2025-12-01,Escuintla,61,Joven,16022.00,46227.21,4262.0
159,2025-01-01,Escuintla,34,Premium,20582.00,33208.80,6344.08
160,2025-11-01,Petén,41,Premium,6550.00,18835.26,2988.61
161,2025-10-01,Escuintla,32,Premium,24222.00,45621.82,6441.82
162,2025-02-01,Cobán,26,Joven,4485.00,34646.42,4435.53
163,2025-04-01,Petén,52,Adulto,7445.00,16159.35,6240.2
164,2025-12-01,Cobán,64,Premium,8063.00,38160.80,3076.31
165,2025-05-01,Quetzaltenango,20,Adulto,25619.00,16076.44,6573.24
166,2025-11-01,Zona 10,41,Adulto,20841.00,39076.05,3333.43
167,2025-04-01,Petén,25,Joven,17900.00,31948.98,5752.19
168,2025-06-01,Petén,33,Joven,7126.00,26872.67,3680.92
169,2025-04-01,Petén,70,Joven,10634.00,21787.28,5995.22
170,2025-03-01,Zona 10,26,Joven,20701.00,24969.45,6238.58
171,2025-06-01,Quetzaltenango,68,Adulto,28835.00,25804.12,6764.04
172,2025-03-01,Cobán,65,Adulto,16794.00,5409.08,4460.0
173,2025-09-01,Petén,55,Joven,6573.00,16890.33,5420.41
174,2025-11-01,Zona 10,51,Adulto,12883.00,0.00,6343.96
175,2025-07-01,Zona 10,61,Joven,6537.00,0.00,5268.0
176,2025-10-01,Petén,27,Premium,5152.00,36784.17,6993.66
177,2025-06-01,Petén,42,Adulto,22575.00,12046.66,4580.34
178,2025-12-01,Quetzaltenango,25,Adulto,24453.00,13021.68,2218.66
179,2025-04-01,Zona 10,44,Adulto,14106.00,30658.43,3216.66
180,2025-06-01,Cobán,60,Joven,11352.00,20137.80,5817.52
181,2025-02-01,Quetzaltenango,23,Premium,17151.00,41153.32,6868.58
182,2025-10-01,Escuintla,53,Premium,21405.00,22059.97,5896.03
183,2025-12-01,Petén,21,Premium,12425.00,15979.26,3901.74
184,2025-03-01,Petén,60,Adulto,18800.00,25925.36,5944.71
185,2025-05-01,Petén,54,Premium,10410.00,33154.84,1384.01
186,2025-11-01,Escuintla,53,Joven,3860.00,11388.08,3147.21
187,2025-05-01,Zona 10,62,Joven,27982.00,21039.21,6698.89
188,2025-10-01,Zona 10,60,Joven,16132.00,42868.54,6391.92
189,2025-09-01,Escuintla,31,Adulto,15327.00,15403.72,5881.46
190,2025-06-01,Quetzaltenango,67,Joven,21598.00,4534.40,2643.39
191,2025-01-01,Cobán,61,Premium,5673.00,22553.49,7917.18
192,2025-07-01,Cobán,35,Joven,10063.00,25183.19,4017.29
193,2025-11-01,Zona 10,61,Joven,22435.00,7263.78,5248.86
194,2025-10-01,Quetzaltenango,21,Adulto,3251.00,33172.24,9625.53
195,2025-06-01,Quetzaltenango,25,Adulto,3253.00,12265.10,5034.87
196,2025-12-01,Escuintla,32,Joven,19392.00,8378.15,3928.78
197,2025-12-01,Escuintla,20,Premium,17294.00,51861.25,5529.63
198,2025-10-01,Cobán,43,Joven,26248.00,18682.46,3724.93
199,2025-03-01,Escuintla,69,Joven,23254.00,7218.02,5759.02
200,2025-02-01,Cobán,33,Adulto,17276.00,12599.92,3708.91
201,2025-06-01,Zona 10,32,Premium,13913.00,25870.30,4216.04
202,2025-04-01,Quetzaltenango,67,Joven,14448.00,7056.14,9057.02
203,2025-03-01,Zona 10,34,Joven,9464.00,28196.05,6021.5
204,2025-08-01,Petén,47,Premium,27721.00,10454.87,3973.75
205,2025-10-01,Cobán,38,Adulto,23552.00,19785.08,6969.7
206,2025-05-01,Zona 10,68,Adulto,12000.00,15616.67,3987.85
207,2025-08-01,Zona 10,20,Premium,4864.00,18299.53,6208.28
208,2025-09-01,Zona 10,42,Adulto,18162.00,0.00,2598.02
209,2025-11-01,Zona 10,30,Adulto,13535.00,13814.25,3553.8
210,2025-06-01,Quetzaltenango,63,Premium,5763.00,17617.07,4964.82
211,2025-08-01,Escuintla,51,Adulto,20129.00,16196.11,3789.15
212,2025-06-01,Escuintla,61,Joven,22591.00,41033.33,5912.38
213,2025-02-01,Petén,53,Joven,25229.00,18081.59,5996.6
214,2025-02-01,Cobán,55,Joven,24745.00,32020.37,6440.49
215,2025-12-01,Escuintla,23,Joven,13144.00,8932.74,3960.68
216,2025-12-01,Cobán,65,Premium,25459.00,29531.45,4536.85
217,2025-01-01,Cobán,41,Joven,13120.00,28535.09,6257.46
218,2025-03-01,Petén,27,Premium,5528.00,19001.16,8378.5
219,2025-09-01,Quetzaltenango,20,Premium,24690.00,14389.56,7915.94
220,2025-03-01,Quetzaltenango,28,Premium,8925.00,35079.71,2004.43
221,2025-01-01,Cobán,44,Premium,14937.00,21055.39,3681.93
222,2025-12-01,Cobán,68,Joven,17710.00,25890.31,6471.3
223,2025-11-01,Cobán,54,Premium,17437.00,15518.49,5388.01
224,2025-07-01,Escuintla,28,Joven,29767.00,30081.44,7589.77
225,2025-08-01,Petén,41,Joven,21171.00,42328.85,3734.94
226,2025-02-01,Quetzaltenango,66,Adulto,8253.00,21281.66,9298.0
227,2025-04-01,Cobán,70,Joven,17782.00,45742.50,1937.85
228,2025-09-01,Quetzaltenango,41,Joven,10725.00,21261.97,5541.19
229,2025-02-01,Zona 10,63,Adulto,24297.00,21556.88,5966.31
230,2025-12-01,Zona 10,26,Joven,27865.00,21389.35,2902.32
231,2025-05-01,Petén,31,Adulto,7899.00,6559.28,4026.84
232,2025-05-01,Petén,33,Adulto,12868.00,31385.65,6022.94
233,2025-02-01,Petén,49,Joven,22553.00,8466.74,4364.88
234,2025-03-01,Petén,36,Adulto,17065.00,36193.92,5018.34
235,2025-11-01,Petén,60,Premium,5805.00,13774.21,4721.9
236,2025-09-01,Cobán,53,Adulto,3666.00,14554.48,6431.87
237,2025-12-01,Zona 10,19,Premium,14701.00,27644.79,3214.43
238,2025-06-01,Quetzaltenango,26,Premium,4452.00,18460.24,6455.51
239,2025-12-01,Cobán,48,Joven,23700.00,27666.17,5980.5
240,2025-04-01,Escuintla,20,Premium,28923.00,26096.16,5555.97
241,2025-09-01,Escuintla,48,Adulto,11300.00,41858.67,5658.17
242,2025-11-01,Cobán,39,Premium,11952.00,33155.80,6350.36
243,2025-07-01,Petén,39,Adulto,9121.00,10925.53,5055.97
244,2025-12-01,Quetzaltenango,45,Premium,5586.00,0.00,7754.68
245,2025-06-01,Cobán,24,Premium,5623.00,20275.49,6477.73
246,2025-07-01,Escuintla,28,Premium,25602.00,12738.62,5751.6
247,2025-05-01,Cobán,58,Adulto,28935.00,29488.15,4746.02
248,2025-12-01,Petén,61,Premium,8242.00,31370.12,4675.49
249,2025-01-01,Escuintla,26,Adulto,5203.00,26518.05,7867.88
250,2025-01-01,Escuintla,56,Adulto,8027.00,12386.44,599.97
251,2025-10-01,Escuintla,26,Joven,20349.00,18009.83,6289.27
252,2025-01-01,Petén,65,Joven,9096.00,13128.46,5011.89
253,2025-05-01,Cobán,63,Joven,17623.00,28644.97,7683.73
254,2025-03-01,Zona 10,22,Premium,17812.00,33860.32,7795.68
255,2025-11-01,Escuintla,40,Joven,26250.00,38768.69,5992.0
256,2025-12-01,Quetzaltenango,62,Joven,23896.00,30218.15,6683.03
257,2025-03-01,Petén,33,Adulto,28898.00,13653.08,5071.07
258,2025-09-01,Cobán,26,Premium,23052.00,28305.86,4509.59
259,2025-08-01,Zona 10,51,Joven,16460.00,27684.04,1302.96
260,2025-11-01,Quetzaltenango,22,Premium,17744.00,10847.89,5514.28
261,2025-10-01,Zona 10,29,Joven,28158.00,37489.68,4552.04
262,2025-03-01,Quetzaltenango,37,Adulto,8395.00,39729.06,8975.99
263,2025-05-01,Escuintla,23,Joven,11211.00,34941.37,9723.07
264,2025-05-01,Petén,57,Premium,20481.00,39300.86,6585.63
265,2025-03-01,Petén,60,Joven,23462.00,21998.55,2319.79
266,2025-02-01,Quetzaltenango,20,Premium,24019.00,26239.25,3445.43
267,2025-10-01,Escuintla,58,Premium,3992.00,8144.66,5034.63
268,2025-08-01,Cobán,33,Joven,29368.00,29319.14,3089.49
269,2025-01-01,Escuintla,28,Premium,17404.00,13430.47,6130.22
270,2025-06-01,Cobán,63,Joven,13463.00,22638.19,1047.98
271,2025-09-01,Escuintla,53,Adulto,6479.00,19340.46,7033.77
272,2025-03-01,Petén,24,Adulto,4658.00,22046.34,6906.74
273,2025-03-01,Quetzaltenango,70,Joven,13729.00,42539.97,3707.64
274,2025-09-01,Zona 10,47,Adulto,19343.00,35204.36,3384.22
275,2025-08-01,Escuintla,33,Adulto,10049.00,21717.68,4684.11
276,2025-11-01,Zona 10,61,Adulto,18420.00,24657.49,5249.86
277,2025-05-01,Cobán,64,Joven,14985.00,25996.06,3098.08
278,2025-09-01,Petén,30,Adulto,14879.00,20569.80,4743.45
279,2025-05-01,Zona 10,70,Adulto,23422.00,22443.90,4088.75
280,2025-06-01,Petén,53,Adulto,14980.00,25249.39,3668.08
281,2025-01-01,Cobán,20,Premium,4275.00,32038.16,6365.36
282,2025-03-01,Escuintla,56,Joven,19892.00,42735.07,8563.01
283,2025-10-01,Petén,65,Premium,12805.00,13126.73,3678.21
284,2025-12-01,Escuintla,54,Premium,12823.00,22829.17,5057.55
285,2025-07-01,Zona 10,55,Premium,13081.00,30585.94,1922.57
286,2025-05-01,Quetzaltenango,59,Premium,28654.00,40530.78,4540.81
287,2025-10-01,Cobán,48,Joven,8587.00,6042.89,4515.19
288,2025-04-01,Zona 10,20,Adulto,21761.00,30486.40,4691.45
289,2025-07-01,Petén,27,Adulto,16531.00,20495.40,3086.23
290,2025-12-01,Escuintla,21,Premium,26126.00,30290.01,6039.98
291,2025-09-01,Petén,42,Adulto,13281.00,37824.68,4403.49
292,2025-06-01,Escuintla,61,Premium,28296.00,37217.18,2766.61
293,2025-04-01,Escuintla,33,Adulto,12142.00,16999.12,4490.49
294,2025-04-01,Petén,62,Premium,26101.00,11313.34,5157.87
295,2025-05-01,Cobán,25,Adulto,21791.00,19782.65,3249.51
296,2025-05-01,Cobán,20,Premium,12425.00,29678.64,4775.12
297,2025-12-01,Petén,48,Premium,10011.00,29427.21,7375.52
298,2025-03-01,Zona 10,24,Premium,23174.00,24492.33,3523.25
299,2025-04-01,Cobán,58,Joven,10629.00,36724.60,5668.92
300,2025-03-01,Cobán,18,Adulto,21033.00,31968.58,4837.76
301,2025-04-01,Zona 10,66,Premium,12412.00,17523.08,7598.55
302,2025-04-01,Quetzaltenango,52,Adulto,27205.00,20261.05,368.45
303,2025-01-01,Escuintla,43,Joven,28819.00,0.00,5136.23
304,2025-05-01,Escuintla,54,Adulto,22751.00,51759.98,8563.97
305,2025-09-01,Petén,51,Adulto,19184.00,29944.61,4311.76
306,2025-04-01,Escuintla,69,Premium,6691.00,15556.94,7833.89
307,2025-01-01,Quetzaltenango,65,Joven,14046.00,28937.93,2494.04
308,2025-11-01,Zona 10,43,Joven,17014.00,19911.71,4918.33
309,2025-08-01,Cobán,38,Adulto,11128.00,36793.35,5084.4
310,2025-05-01,Escuintla,55,Premium,26687.00,16617.97,4311.5
311,2025-01-01,Petén,60,Premium,6873.00,18087.37,5254.53
312,2025-12-01,Petén,25,Joven,23929.00,33673.04,4158.93
313,2025-03-01,Escuintla,48,Adulto,8019.00,0.00,6673.83
314,2025-09-01,Quetzaltenango,48,Joven,27816.00,7764.91,4310.03
315,2025-10-01,Escuintla,68,Joven,5682.00,10480.35,4608.82
316,2025-02-01,Petén,21,Joven,20945.00,31609.60,4229.79
317,2025-06-01,Petén,51,Adulto,17478.00,31061.80,5904.79
318,2025-09-01,Cobán,46,Adulto,29499.00,30997.63,5364.4
319,2025-01-01,Zona 10,53,Adulto,18151.00,20195.34,3481.42
320,2025-01-01,Escuintla,65,Premium,10140.00,21779.92,4712.33
321,2025-09-01,Escuintla,21,Adulto,5261.00,38512.23,4803.34
322,2025-03-01,Cobán,67,Adulto,24021.00,42131.03,4608.89
323,2025-08-01,Petén,42,Joven,15309.00,52107.22,7492.97
324,2025-06-01,Quetzaltenango,25,Premium,8848.00,36979.76,4910.2
325,2025-01-01,Petén,66,Adulto,3744.00,38259.62,4699.5
326,2025-07-01,Escuintla,70,Joven,10525.00,25172.92,6843.45
327,2025-02-01,Zona 10,20,Joven,29524.00,16134.26,2665.23
328,2025-02-01,Zona 10,24,Joven,22462.00,40836.64,5565.24
329,2025-01-01,Zona 10,43,Joven,17383.00,25825.16,6393.13
330,2025-05-01,Petén,32,Premium,29731.00,38602.42,3685.98
331,2025-06-01,Petén,33,Joven,12888.00,49925.19,910.98
332,2025-05-01,Quetzaltenango,35,Premium,4997.00,9948.18,4066.12
333,2025-07-01,Cobán,53,Premium,19240.00,35552.29,5533.61
334,2025-12-01,Petén,44,Adulto,16377.00,31901.87,6567.01
335,2025-04-01,Zona 10,37,Premium,26185.00,33244.96,6756.73
336,2025-07-01,Quetzaltenango,53,Adulto,20366.00,30957.68,6113.42
337,2025-02-01,Quetzaltenango,46,Joven,15159.00,41109.18,6762.76
338,2025-07-01,Quetzaltenango,61,Premium,22823.00,5520.76,2548.94
339,2025-11-01,Escuintla,53,Adulto,10111.00,986.56,5521.08
340,2025-04-01,Cobán,30,Joven,27296.00,59994.31,10294.76
341,2025-10-01,Escuintla,63,Adulto,9701.00,17931.12,5894.67
342,2025-08-01,Petén,52,Adulto,24257.00,19076.92,6204.66
343,2025-02-01,Quetzaltenango,69,Adulto,26672.00,2457.62,5729.17
344,2025-07-01,Zona 10,20,Adulto,21432.00,37963.62,2520.68
345,2025-10-01,Escuintla,55,Joven,26593.00,19003.91,5569.37
346,2025-10-01,Escuintla,33,Adulto,19361.00,0.00,3500.16
347,2025-12-01,Escuintla,59,Joven,27235.00,17729.12,5071.69
348,2025-12-01,Zona 10,52,Premium,19001.00,35138.30,8841.48
349,2025-02-01,Quetzaltenango,70,Premium,24896.00,26295.49,5067.93
350,2025-02-01,Escuintla,63,Joven,7948.00,39222.48,5136.3
351,2025-11-01,Zona 10,60,Joven,23202.00,40029.02,3470.47
352,2025-09-01,Petén,44,Adulto,3388.00,44100.24,5335.79
353,2025-09-01,Quetzaltenango,70,Joven,25867.00,15013.66,1781.94
354,2025-09-01,Escuintla,27,Adulto,10896.00,30235.31,7284.46
355,2025-02-01,Quetzaltenango,41,Adulto,16304.00,16337.08,5380.42
356,2025-02-01,Cobán,59,Adulto,24295.00,25320.05,4115.42
357,2025-08-01,Cobán,21,Adulto,23864.00,32345.25,5072.78
358,2025-06-01,Quetzaltenango,54,Joven,6124.00,46244.73,2246.04
359,2025-10-01,Escuintla,48,Premium,11883.00,29516.56,5226.73
360,2025-11-01,Quetzaltenango,20,Premium,8877.00,34400.89,4247.82
361,2025-12-01,Petén,70,Joven,16051.00,34126.64,4271.04
362,2025-07-01,Quetzaltenango,61,Premium,20713.00,15104.18,7924.33
363,2025-02-01,Cobán,50,Joven,27427.00,28935.11,4893.26
364,2025-06-01,Escuintla,56,Joven,28198.00,12811.63,3234.66
365,2025-05-01,Cobán,68,Adulto,17763.00,13765.64,5110.68
366,2025-11-01,Escuintla,55,Joven,24648.00,9947.92,7353.65
367,2025-02-01,Quetzaltenango,23,Premium,11780.00,35714.25,7600.12
368,2025-06-01,Cobán,41,Adulto,6491.00,49100.91,7603.31
369,2025-02-01,Petén,26,Premium,5860.00,30020.83,7016.35
370,2025-02-01,Petén,19,Adulto,5936.00,21777.78,5702.18
371,2025-01-01,Petén,36,Joven,16559.00,21154.81,5545.27
372,2025-09-01,Escuintla,28,Adulto,25456.00,20196.51,5744.9
373,2025-03-01,Cobán,22,Joven,8479.00,13495.02,5834.41
374,2025-05-01,Quetzaltenango,33,Adulto,26622.00,13612.36,3101.26
375,2025-03-01,Petén,37,Adulto,3221.00,35231.17,4431.98
376,2025-08-01,Petén,39,Joven,17110.00,34507.17,1368.18
377,2025-06-01,Cobán,56,Adulto,25783.00,28167.49,6654.83
378,2025-12-01,Quetzaltenango,62,Adulto,23738.00,9307.95,5147.93
379,2025-05-01,Petén,70,Joven,28751.00,20384.56,5612.83
380,2025-09-01,Cobán,29,Premium,25338.00,25309.67,4535.66
381,2025-08-01,Cobán,69,Premium,12546.00,27220.66,4339.43
382,2025-03-01,Cobán,58,Adulto,12923.00,25881.69,7928.73
383,2025-08-01,Cobán,56,Premium,18703.00,12100.35,3778.27
384,2025-06-01,Zona 10,62,Joven,29617.00,8347.07,4344.61
